Name,Status,f0_Hz,T0_s,A0,RelPct,ClrPct,RelClass,ClrClass,X_UTM,Y_UTM,Z
m1,Controlled,0.305671,3.27149124385369,6.06561,100,66.6666666666667,High,Low,450123.55,4578123.21,105.3
m6,Controlled,0.211055,4.73810144275189,6.72123,100,83.3333333333333,High,Moderate,451556.1,4577102.28,108.6
m8,Controlled,0.22174,4.50978623613241,7.2347,100,83.3333333333333,High,Moderate,452120.88,4576700.12,97.5
m10,Controlled,0.337404,2.96380600111439,3.69766,100,83.3333333333333,High,Moderate,451880.42,4577350.66,104.8
m11,Accepted,0.778635,1.28429880495996,7.31223,100,100,High,High,451980.42,4578350.66,102.8
